ID	Positive_score	Negative_score	Content
1	0	0	RT @alexleo2807: If it wasn’t for Iron Man or @RobertDowneyJr , I wouldn’t have a clue to where I would be or if I would even be here today…
2	2	0	RT @Marvel: In ten days, destiny arrives. Get your tickets to Marvel Studios' @Avengers: #InfinityWar now: https://t.co/UiS1rbHQrS https://…
3	0	0	RT @cyanwhisky: #infinitywar #Mantis  umm... looks familiar🙃??? https://t.co/zFBLr5JNKQ
4	2	0	RT @thorofficial: In ten days, destiny arrives. Get your tickets to Marvel Studios' @Avengers: #InfinityWar now: https://t.co/JjbjHze1VD ht…
5	0	0	@MarvelStudios @Avengers #Avengers + #InfinityWar The first film I watched was Captain America the first avenger on… https://t.co/y5t657wWAr
6	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
7	2	0	RT @Avengers: In ten days, destiny arrives. Get your tickets to Marvel Studios' "Avengers: #InfinityWar" now: https://t.co/kctg8VkHan https…
8	1	0	RT @alexleo2807: I started my MCU Journey when I was at the age of 6... I had a tough childhood &amp; when I saw Iron Man, @RobertDowneyJr , I…
9	0	0	RT @cyanwhisky: #InfinityWar / get this man a shield☝️!!!! https://t.co/iq44evRWDr
10	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
11	0	0	@MarvelStudios #Avengers #İnfinityWar
Answer me 😘
12	0	0	@MarvelStudios @gofooji An entire universe. Once and for all #Avengers #InfinityWar
13	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
14	0	0	#infinitywar + #avengers so pumped for this one!
15	0	0	RT @MarvelStudios: 10 Days until @Avengers: #InfinityWar. Get tickets now: https://t.co/xQsJemiGws
16	0	0	An entire universe. Once and for all #Avengers #InfinityWar via @gofooji
17	0	0	@MarvelStudios I started watching ever since Captain America and then the Avengers. Especially the Avengers when it… https://t.co/7GNiDKSaSh
18	2	0	RT @DrStrange: In ten days, destiny arrives. Get your tickets to Marvel Studios' @Avengers: #InfinityWar now: https://t.co/4Ud3pIbq13 https…
19	0	0	An entire universe. Once and for all #Avengers #InfinityWar
20	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
21	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJem15EU https://t.co/7vcnwi…
22	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJem15EU https://t.co/7vcnwi…
23	0	0	@MarvelStudios @gofooji Looking at pictures in the comics before I could even read #Avengers + #InfinityWar
24	2	0	RT @Guardians: In ten days, destiny arrives. Get your tickets to Marvel Studios' @Avengers: #InfinityWar now: https://t.co/GRQn6YfNq3 https…
25	1	0	RT @MarvelStudios: @schaubey07 Ready? Let's go. https://t.co/rGt9lDca1J #Avengers #InfinityWar #10Days
26	1	0	@MarvelStudios I think the first movie of the MCU that I saw is Iron Man and after, because I love superhero, I wat… https://t.co/93mjmTBfJ7
27	1	0	I started into the MCU through the first Iron Man movies. I have always liked superheros and I decided to watch som… https://t.co/wHmDR7ipLv
28	0	0	RT @cyanwhisky: #infinitywar one iron man to go, please😎 https://t.co/IsfxUx10cF
29	0	0	@MarvelStudios I started with Captain America The First Avenger and i just love this cinematic universe, it's so aw… https://t.co/OaI6zbRkF2
30	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
31	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
32	0	0	RT @cyanwhisky: #infinitywar #Mantis  umm... looks familiar🙃??? https://t.co/zFBLr5JNKQ
33	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJem15EU https://t.co/7vcnwi…
34	0	0	@MarvelStudios Longtime fan, can't wait to see the latest installment! #Avengers #InfinityWar
35	2	0	RT @Iron_Man: In ten days, destiny arrives. Get your tickets to Marvel Studios' @Avengers: #InfinityWar now: https://t.co/yhRZaQYVpD https:…
36	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJem15EU https://t.co/7vcnwi…
37	0	0	RT @MottStark: @MarvelStudios I walked into the theater with my dad to watch Iron Man when I was 10 years old and never looked back. I’ve s…
38	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJem15EU https://t.co/7vcnwi…
39	2	0	@MarvelStudios @gofooji Watching The 1st Iron Man! Favorite superhero 😌👌🏽 #Avengers + #InfinityWar
40	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJem15EU https://t.co/7vcnwi…
