ID	Positive_score	Negative_score	Content
1	0	0	An entire universe. Once and for all #Avengers #InfinityWar
2	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJem15EU https://t.co/7vcnwi…
3	0	0	An entire universe. Once and for all #Avengers #InfinityWar
4	1	0	@MarvelStudios My best friend and I have watched every single movie opening night!! It’s our little tradition now #Avengers + #InfinityWar
5	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJemiGws
6	2	0	RT @Iron_Man: In ten days, destiny arrives. Get your tickets to Marvel Studios' @Avengers: #InfinityWar now: https://t.co/yhRZaQYVpD https:…
7	2	0	RT @Marvel: In ten days, destiny arrives. Get your tickets to Marvel Studios' @Avengers: #InfinityWar now: https://t.co/UiS1rbHQrS https://…
8	2	0	#Avengers #InfinityWar The first Marvel movie I ever saw was The Avengers in theaters and it was amazing. I am so g… https://t.co/lrxnguTruC
9	1	0	The wait is over, Infinity War is here 🙌 Tweet #Avengers #InfinityWar for a chance to win an Avengers surprise 🎁
10	0	0	@MarvelStudios I've been there since the very beginning, seeing all 18 films in the theater (some multiple times) a… https://t.co/96UrXjmdJc
11	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJemiGws
12	0	0	An entire universe. Once and for all #Avengers #InfinityWar via @gofooji
13	0	0	RT @MarvelStudios: 10 Days until @Avengers: #InfinityWar. Get tickets now: https://t.co/xQsJemiGws
14	1	0	Umm... All of them. Each and every one plays a part in the lead up to #InfinityWar. https://t.co/vR3y5cGIrK
15	2	0	RT @Avengers: In ten days, destiny arrives. Get your tickets to Marvel Studios' "Avengers: #InfinityWar" now: https://t.co/kctg8VkHan https…
16	0	0	NY, BOS, PHL, DC, PGH, ATL, CHI, VEGAS, SF, LA 👋 The wait is over, Infinity War is here 🙌 Tweet #Avengers… https://t.co/rv48qaIYu4
